champion,build,c0_upper,c0_avg,c0_lower,c1_upper,c1_avg,c1_lower,c2_upper,c2_avg,c2_lower,c3_upper,c3_avg,c3_lower,c4_upper,c4_avg,c4_lower,c5_upper,c5_avg,c5_lower,c6_upper,c6_avg,c6_lower
Aatrox,item_bruiser,0.0,0.0,0.0,0.01368,0.00092,0.0,1.13155,0.65573,0.17991173465020582,0.0,0.0,0.0,0.14693,0.01914,0.0,0.2072,0.03167,0,0.74448,0.29254,0.0
Ahri,item_ap,8e-05,1e-05,0.0,0.22015,0.06737,0.0,0.0,0.0,0.0,1.14507,0.78384,0.4226171924033908,0.0,0.0,0.0,0.50348,0.14794,0,0.0124,0.00084,0.0
Akali,item_ap,0.06274,0.00359,0.0,0.1632,0.03536,0.0,0.06274,0.00351,0.0,1.18112,0.82406,0.4670041692848317,0.14908,0.01761,0.0,0.43632,0.11579,0,0.00074,7e-05,0.0
Akshan,item_ad,0.0,0.0,0.0,0.15396,0.02426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31325,0.06542,0.0,0.37389,0.08879,0,1.19616,0.82154,0.44692020242719493
Alistar,item_tank,0.26895,0.07824,0.0,1.08169,0.66386,0.24602680785241182,0.0,0.0,0.0,0.16474,0.04188,0.0,0.31452,0.06584,0.0,0.49721,0.15011,0,0.00058,8e-05,0.0
Amumu,item_ap,0.0019,0.0005,0.0,0.28646,0.10213,0.0,0.0,0.0,0.0,1.11132,0.74653,0.38173322612771554,0.0,0.0,0.0,0.51204,0.15085,0,3e-05,0.0,0.0
Amumu,item_tank,0.06105,0.00857,0.0,0.86901,0.50126,0.13351444015761177,0.0,0.0,0.0,0.69193,0.35182,0.011719914750726868,0.0,0.0,0.0,0.48323,0.13815,0,0.00158,0.0002,0.0
Anivia,item_ap,0.05132,0.00421,0.0,0.07412,0.01558,0.0,0.0,0.0,0.0,1.10375,0.63379,0.16383046015235486,0.69394,0.25639,0.0,0.37615,0.08974,0,0.00411,0.0003,0.0
Annie,item_ap,0.0723,0.01016,0.0,0.07819,0.01642,0.0,0.0,0.0,0.0,1.18047,0.7867,0.39293347433321646,0.34189,0.07619,0.0,0.41809,0.11053,0,2e-05,0.0,0.0
Aphelios,item_ad,0.0,0.0,0.0,0.00048,6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81746,0.34206,0.0,0.42279,0.10965,0,1.04689,0.54823,0.04957062937737455
Ashe,item_ad,0.0,0.0,0.0,0.64498,0.24908,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.66085,0.23588,0.0,0.4297,0.1129,0,0.86064,0.40213,0.0
AurelionSol,item_ap,0.00089,0.00015,0.0,0.12727,0.01702,0.0,0.0,0.0,0.0,1.02598,0.52838,0.03077445299476783,0.84782,0.36363,0.0,0.37988,0.09082,0,1e-05,0.0,0.0
Azir,item_ap,0.00095,0.00014,0.0,0.22379,0.05189,0.0,0.0,0.0,0.0,1.09142,0.62974,0.16805281962925273,0.6115,0.20701,0.0,0.42613,0.11105,0,0.00164,0.00018,0.0
Bard,item_ad,0.01951,0.00348,0.0,0.83454,0.40901,0.0,0.0,0.0,0.0,0.37917,0.11045,0.0,0.34174,0.075,0.0,0.51162,0.15,0,0.64678,0.25206,0.0
Bard,item_ap,0.14511,0.0253,0.0,0.56837,0.25189,0.0,0.0,0.0,0.0,0.89699,0.49512,0.0932405671783692,0.41905,0.10798,0.0,0.43605,0.11844,0,0.01204,0.00127,0.0
Blitzcrank,item_ap,0.0338,0.00659,0.0,0.6589,0.31185,0.0,0.0,0.0,0.0,0.85276,0.45413,0.05550482758632941,0.40667,0.10236,0.0,0.43395,0.11578,0,0.08186,0.00928,0.0
Blitzcrank,item_tank,0.17081,0.03343,0.0,0.98409,0.53987,0.09564900894499667,0.0,0.0,0.0,0.35158,0.11689,0.0,0.54663,0.17005,0.0,0.46347,0.13459,0,0.05578,0.00517,0.0
Brand,item_ap,0.05636,0.00385,0.0,0.08819,0.00981,0.0,0.0,0.0,0.0,1.05983,0.5679,0.07596861092735613,0.75812,0.29982,0.0,0.44078,0.11863,0,1e-05,0.0,0.0
Braum,item_tank,0.26451,0.06537,0.0,1.06932,0.61741,0.16549654709261818,0.0,0.0,0.0,0.18393,0.04358,0.0,0.54778,0.17061,0.0,0.39609,0.10211,0,0.00533,0.00092,0.0
Caitlyn,item_ad,0.0,0.0,0.0,0.06414,0.00396,0.0,0.0,0.0,8.61881284136632e-237,0.0,0.0,0.0,0.5728,0.18456,0.0,0.45604,0.125,0,1.15043,0.68648,0.22252939650355202
Camille,item_ad,0.0,0.0,0.0,0.00038,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37201,0.08333,0,1.20523,0.91658,0.6279336411603509
Camille,item_bruiser,0.0,0.0,0.0,0.00021,4e-05,0.0,0.0,0.0,2.951916345970554e-235,0.0,0.0,0.0,0.0,0.0,0.0,0.46526,0.12871,0,1.20778,0.87125,0.5347105375171766
Cassiopeia,item_ap,0.09455,0.00958,0.0,0.09594,0.01541,0.0,0.0,0.0,0.0,0.83661,0.36364,0.0,0.93769,0.44117,0.0,0.54481,0.16994,0,0.00399,0.00025,0.0
Chogath,item_ap,4e-05,1e-05,0.0,0.60919,0.25073,0.0,0.0,0.0,0.0,1.02414,0.59708,0.1700143884026344,0.0,0.0,0.0,0.51533,0.15217,0,6e-05,1e-05,0.0
Chogath,item_tank,0.06045,0.00376,0.0,1.12513,0.74514,0.36515014930114187,0.0,0.0,0.0,0.3621,0.11859,0.0,0.0,0.0,0.0,0.46657,0.12992,0,0.0449,0.00259,0.0
Corki,item_ad,0.08033,0.00559,0.0,0.5086,0.17601,0.0,0.0,0.0,0.0,0.68814,0.27783,0.0,0.92022,0.42459,0.0,0.42765,0.11173,0,0.05311,0.00425,0.0
Darius,item_bruiser,0.0,0.0,0.0,0.00025,2e-05,0.0,1.05783,0.56035,0.06286888629318471,0.0,0.0,0.0,0.0,0.0,0.0,0.24955,0.04386,0,0.88585,0.39577,0.0
Darius,item_tank,0.0,0.0,0.0,0.00972,0.0013,0.0,0.86208,0.38013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2429,0.04167,0,1.0664,0.5769,0.0874094103926158
Diana,item_ap,0.00028,5e-05,0.0,0.16511,0.03617,0.0,0.0,0.0,0.0,1.17687,0.80041,0.42395573396141123,0.23059,0.03827,0.0,0.45521,0.1244,0,0.00891,0.0007,0.0
DrMundo,item_tank,0.00415,0.00036,0.0,1.14138,0.71676,0.29213973430946316,0.0,0.0,0.0,0.16817,0.03414,0.0,0.39756,0.09869,0.0,0.46441,0.12876,0,0.13152,0.02129,0.0
Draven,item_ad,0.0,0.0,0.0,0.00056,4e-05,0.0,1.06186,0.56604,0.07021858151455646,0.0,0.0,0.0,0.36262,0.08531,0.0,0.26479,0.04886,0,0.75755,0.29975,0.0
Ekko,item_ap,0.00715,0.00092,0.0,0.40145,0.14026,0.0,0.0,0.0,0.0,1.07626,0.66055,0.24484354605537978,0.32947,0.07142,0.0,0.45803,0.12588,0,0.01484,0.00098,0.0
Elise,item_ap,0.01649,0.00242,0.0,0.21592,0.04964,0.0,0.0,0.0,0.0,1.16465,0.75614,0.3476190885220964,0.37503,0.08888,0.0,0.40167,0.1,0,0.02777,0.00293,0.0
Evelynn,item_ap,0.00083,0.00011,0.0,0.08333,0.01835,0.0,0.0,0.0,0.0,1.15616,0.72157,0.2869857617464106,0.40146,0.09999,0.0,0.52837,0.15997,0,0.0,0.0,0.0
Ezreal,item_ad,0.00515,0.00023,0.0,0.60423,0.224,0.0,0.0,0.0,1.8741499085596686e-240,0.00019,1e-05,0.0,0.97149,0.47192,0.0,0.48115,0.13711,0,0.49754,0.16673,0.0
Ezreal,item_bruiser,0.0,0.0,0.0,0.67325,0.25766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03881,0.53564,0.032473356602125136,0.37702,0.08929,0,0.40622,0.11742,0.0
Fiddlesticks,item_ap,0.03582,0.00302,0.0,0.24852,0.07415,0.0,0.0,0.0,0.0,1.12579,0.72648,0.327180083908912,0.35178,0.08,0.0,0.43748,0.11633,0,0.00027,2e-05,0.0
Fiora,item_ad,0.0,0.0,0.0,0.00367,0.00119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25866,0.04545,0,1.1663,0.95336,0.7404061085568574
Fiora,item_bruiser,0.0,0.0,0.0,0.00089,0.00013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46844,0.13043,0,1.2074,0.86944,0.5314783453443135
Fizz,item_ap,0.04986,0.00453,0.0,0.26396,0.07488,0.0,0.0,0.0,0.0,1.14175,0.74596,0.35017167475391636,0.3079,0.06353,0.0,0.40277,0.10123,0,0.10218,0.00987,0.0
Galio,item_ap,0.0001,3e-05,0.0,0.33615,0.10909,0.0,0.0,0.0,0.0,1.1391,0.78832,0.43753900522748407,0.18574,0.02564,0.0,0.34688,0.07692,0,0.0,0.0,0.0
Galio,item_tank,0.01334,0.00175,0.0,0.84076,0.43527,0.029784133237766575,0.0,0.0,0.0,0.74808,0.36151,0.0,0.36674,0.08653,0.0,0.43468,0.11483,0,0.00145,0.00011,0.0
Gangplank,item_ad,0.0,0.0,0.0,0.26591,0.07373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4855,0.13898,0,1.15667,0.78729,0.4179060847540707
Garen,item_bruiser,0.0,0.0,0.0,0.00093,0.0001,0.0,0.92771,0.43394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36514,0.08511,0,0.97859,0.48086,0.0
Garen,item_tank,0.0,0.0,0.0,0.27865,0.0735,0.0,0.59354,0.19545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33227,0.07216,0,1.10604,0.65888,0.21171548061098167
Gnar,item_bruiser,0.0,0.0,0.0,0.2176,0.05561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218,0.03448,0.0,0.43574,0.11494,0,1.16645,0.79497,0.42348036602778566
Gnar,item_tank,0.0,0.0,0.0,0.40122,0.12292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66044,0.23077,0,1.09694,0.64631,0.19568639347380662
Gragas,item_ap,0.03178,0.00411,0.0,0.37517,0.14241,0.0,0.0,0.0,0.0,1.04024,0.6374,0.2345544286464623,0.31714,0.06666,0.0,0.50606,0.14924,0,0.00182,0.00018,0.0
Gragas,item_tank,0.01355,0.00456,0.0,0.98119,0.52774,0.07428054838394876,0.0,0.0,0.0,0.48205,0.17179,0.0,0.43086,0.11098,0.0,0.58012,0.18489,0,0.00012,4e-05,0.0
Graves,item_ad,0.0,0.0,0.0,0.05662,0.00391,0.0,0.0,0.0,2.1407000527803444e-169,0.0,0.0,0.0,0.4399,0.1175,0.0,0.46565,0.1295,0,1.18184,0.74909,0.31634105071498825
Gwen,item_ap,0.00121,0.00014,0.0,0.73863,0.3761,0.01356467256784405,0.0,0.0,0.0,0.81485,0.41845,0.02204861424114607,0.0,0.0,0.0,0.46064,0.12676,0,0.2817,0.07856,0.0
Hecarim,item_ad,0.0,0.0,0.0,0.31895,0.09326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87855,0.38094,0.0,0.26584,0.04762,0,0.9516,0.47817,0.0047455272283118966
Hecarim,item_bruiser,0.0,0.0,0.0,0.37093,0.1241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72967,0.27769,0.0,0.54284,0.16667,0,0.87879,0.43154,0.0
