,champion,build,predCluster,PC0,PC1
0,Aatrox,item_bruiser,5,0.2632654328494971,-0.353352613696169
1,Ahri,item_ap,6,-0.3068099489261217,0.5385970848478489
2,Akali,item_ap,3,-0.2886530479337105,0.1591821744790169
3,Akshan,item_ad,2,0.39762133304037756,0.09296496709653462
4,Alistar,item_tank,7,-0.2030793379432616,-0.14202425564872057
5,Amumu,item_ap,1,-0.0367251906511387,-0.18334266605266114
6,Amumu,item_tank,6,-0.3863946782102553,0.24942255415719752
7,Anivia,item_ap,6,-0.3715335409541224,0.20415793222133394
8,Annie,item_ap,6,-0.39581042660393734,0.22233059450095624
9,Aphelios,item_ad,2,0.40950031499279665,0.10595053160764449
10,Ashe,item_ad,2,0.10673124070360668,0.5386211795666785
11,AurelionSol,item_ap,7,-0.1537812284615619,-0.05267061619466534
12,Azir,item_ap,7,-0.18956913758379448,-0.015275270396067383
13,Bard,item_ad,1,0.009730988776175533,-0.1862113683249006
14,Bard,item_ap,7,-0.1863411045019156,-0.03554976909624006
15,Blitzcrank,item_ap,3,-0.20265228423893628,0.027950568159865602
16,Blitzcrank,item_tank,3,-0.313240209747716,0.16794109804710036
17,Brand,item_ap,0,-0.7065871182585882,0.5387633746451801
18,Braum,item_tank,3,-0.27894155045256175,0.10301782849515405
19,Caitlyn,item_ad,4,0.9413117463328295,0.6214243830106627
20,Camille,item_bruiser,1,0.12081682143937893,-0.19454624807118948
21,Cassiopeia,item_ap,3,-0.22099419201978995,0.022031093420670906
22,Chogath,item_ap,7,-0.06125336821781524,-0.14122388389018864
23,Chogath,item_tank,3,-0.2849680830134315,0.03039359439437698
24,Corki,item_ad,3,-0.24802827401412514,0.08715005710025975
25,Darius,item_bruiser,5,0.21578289166269632,-0.24507636569072325
26,Darius,item_tank,1,0.0827784955975119,-0.22528498160413016
27,Diana,item_ap,3,-0.2740376320005622,0.07444688870080339
28,DrMundo,item_tank,1,-0.07625428650976092,-0.24921609879779824
29,Draven,item_ad,2,0.5609748020027089,0.2328094610233191
30,Ekko,item_ap,3,-0.3229242801319827,0.11357639405064512
31,Elise,item_ap,7,-0.1078919007168507,-0.11025929848808184
32,Evelynn,item_ap,7,-0.1847418047544164,-0.02978741489633971
33,Ezreal,item_ad,4,0.6134795450012567,0.522677455332578
34,Fiddlesticks,item_ap,6,-0.4212273830292621,0.23618106220621968
35,Fiora,item_ad,1,0.0360959482797845,-0.21591396911646066
36,Fiora,item_bruiser,5,0.2615386317912241,-0.09141029113221784
37,Fizz,item_ap,3,-0.33179320624168596,0.16074912291894808
38,Galio,item_ap,1,-0.05727619123655517,-0.16519569415781088
39,Galio,item_tank,7,-0.1704959841530392,-0.03062467139230769
40,Gangplank,item_ad,2,0.6510045165076097,0.2664182539763131
41,Garen,item_ad,1,0.039693057666096765,-0.20671318834939667
42,Garen,item_bruiser,5,0.20417588595511615,-0.11774772802828973
43,Garen,item_tank,5,0.16475917798366851,-0.1398281065574927
44,Gnar,item_ad,1,0.03881925637673384,-0.20771243304312267
45,Gnar,item_bruiser,1,0.12532660734387735,-0.20177723532907102
46,Gnar,item_tank,1,0.0839492213419599,-0.19628389303786872
47,Gragas,item_ap,7,-0.16703278448988307,-0.08353079563884769
48,Gragas,item_tank,1,-0.012700975673172996,-0.23881202399146093
49,Graves,item_ad,4,0.8357776462623656,0.4700027474986193
50,Gwen,item_ap,5,0.19753425875476205,-0.028406300842589008
51,Hecarim,item_ad,1,0.014080025067493318,-0.2377627588628039
52,Hecarim,item_bruiser,1,0.06270809397814736,-0.26254510367124934
53,Hecarim,item_tank,1,0.05790964233002151,-0.24045446714730137
54,Heimerdinger,item_ap,6,-0.3837937855564992,0.19787798480931368
55,Illaoi,item_bruiser,5,0.190662043343131,-0.2392952753537464
56,Illaoi,item_tank,1,0.04082228757793185,-0.24012678179438124
57,Irelia,item_ad,5,0.31396618911456275,-0.07710757051733448
58,Irelia,item_bruiser,1,0.13339489155947548,-0.2423262670640101
59,Ivern,item_ap,1,-0.01097586829418084,-0.21496676993375
60,Ivern,item_support,7,-0.08848391146902787,-0.1439716102524804
61,Janna,item_ap,3,-0.2390821474117229,-0.01560985366169755
62,Janna,item_support,7,-0.18325549933752366,-0.09271324404804206
63,JarvanIV,item_ad,1,0.052441660264066756,-0.18863018394046327
64,JarvanIV,item_bruiser,5,0.21485758706809321,-0.18270007697775237
65,JarvanIV,item_tank,1,0.02705598157700069,-0.19693238453337228
66,Jax,item_ad,5,0.16560696715053372,-0.1482027581453206
67,Jax,item_bruiser,1,0.10609848555036061,-0.20272205424611567
68,Jayce,item_ad,2,0.5093946382423746,0.1813510826821636
69,Jhin,item_ad,4,0.8788017477567078,0.6038939749753586
70,Jinx,item_ad,4,0.893132054187371,0.5591422229848578
71,Kaisa,item_ad,2,0.42869194250999737,0.1447528601348612
72,Kaisa,item_ap,3,-0.26710079378246626,0.10348926810689493
73,Kalista,item_ad,5,0.29883669675681873,0.011783942449949234
74,Karma,item_ap,6,-0.43076766735683536,0.25693995365561045
75,Karma,item_support,7,-0.0867284876585233,-0.1521588115025826
76,Karthus,item_ap,0,-0.5629470530551632,0.39442408066923146
77,Kassadin,item_ap,3,-0.27793775915935287,0.07540390620264834
78,Katarina,item_ap,3,-0.26959634611210775,0.11991047655711809
79,Katarina,item_bruiser,1,0.017649655341919892,-0.22401979437393787
80,Kayle,item_ad,5,0.20211376118398772,0.021585929436789882
81,Kayle,item_ap,7,0.002024527772438072,0.026693319608266115
82,Kayn,item_ad,5,0.17760348124969702,-0.1199929841412802
83,Kayn,item_bruiser,5,0.17995102413791492,-0.25146673716328616
84,Kennen,item_ap,3,-0.20600590164395446,0.005256629323965926
85,Khazix,item_ad,2,0.5489910890697973,0.226803213275952
86,Kindred,item_ad,2,0.5011704891066531,0.13562097876704107
87,Kled,item_bruiser,1,0.0811971897127565,-0.2940014076853391
88,Kled,item_tank,1,0.02762237406115357,-0.23374779731172365
89,KogMaw,item_ad,5,0.25276811894107065,0.004208660474592344
90,KogMaw,item_ap,7,-0.07463859483762046,-0.11667212508743412
91,Leblanc,item_ap,6,-0.46172368456997176,0.2654777738189597
92,LeeSin,item_ad,5,0.14002853896783876,-0.12606404398602145
93,LeeSin,item_bruiser,5,0.3942585866480073,-0.12267018480622784
