champion,build,c0_upper,c0_avg,c0_lower,c1_upper,c1_avg,c1_lower,c2_upper,c2_avg,c2_lower,c3_upper,c3_avg,c3_lower,c4_upper,c4_avg,c4_lower,c5_upper,c5_avg,c5_lower,c6_upper,c6_avg,c6_lower,c7_upper,c7_avg,c7_lower,c8_upper,c8_avg,c8_lower
Aatrox,item_bruiser,0.52537,0.25273,0.0,0.00014,1e-05,0.0,0.31188,0.06506,0,0.00263,0.00012,0.0,0.0,0.0,0,0.04226,0.00246,0.0,0.29554,0.07974,0.0,0.95201,0.59959,0.247171332580443,0.00789,0.00029,0.0
Ahri,item_ap,0.06154,0.00703,0.0,0.00843,0.00022,0.0,0.02901,0.00169,0,1.1775,0.857,0.53649899358291,0.35466,0.08197,0,0.06277,0.00696,0.0,0.01008,0.00044,0.0,0.07273,0.00845,0.0,0.17814,0.03625,0.0
Akali,item_ap,0.21931,0.04738,0.0,0.09847,0.01867,0.0,0.04735,0.00236,0,0.77435,0.36694,0.0,0.32053,0.06849,0,0.09946,0.0159,0.0,0.03472,0.00142,0.0,0.04773,0.00382,0.0,0.89715,0.47502,0.052886767441610916
Akshan,item_ad,0.21104,0.04644,0.0,0.0,0.0,0.0,0.36739,0.08633,0,1e-05,0.0,0.0,0.0,0.0,0,0.05647,0.00288,0.0,0.98326,0.56251,0.14177270392307095,0.68197,0.30183,0.0,0.0,0.0,0.0
Alistar,item_tank,0.23867,0.07814,0.0,0.28259,0.07438,0.0,0.00948,0.00103,0,1.06948,0.70874,0.34800759094413186,0.37682,0.09086,0,0.18397,0.04078,0.0,0.00031,2e-05,0.0,0.03347,0.00459,0.0,0.02888,0.00146,0.0
Amumu,item_ap,0.14211,0.02161,0.0,0.07313,0.01476,0.0,0.0005,7e-05,0,0.6968,0.32354,0.0,0.29217,0.0579,0,0.44477,0.1742,0.0,0.0,0.0,0.0,0.00031,4e-05,0.0,0.7903,0.40788,0.0254548642347715
Amumu,item_tank,0.1522,0.02985,0.0,0.062,0.00876,0.0,0.05173,0.00339,0,0.68358,0.3148,0.0,0.36167,0.08481,0,0.87594,0.48427,0.09258934315274459,0.00057,3e-05,0.0,0.04423,0.00245,0.0,0.24649,0.07163,0.0
Anivia,item_ap,0.17595,0.03256,0.0,0.40921,0.15336,0.0,0.00099,9e-05,0,0.4016,0.12856,0.0,0.3735,0.0889,0,0.19091,0.04152,0.0,4e-05,0.0,0.0,0.01496,0.00069,0.0,0.94226,0.55432,0.1663727429187289
Annie,item_ap,0.11444,0.0147,0.0,0.26443,0.07744,0.0,0.03194,0.00124,0,0.37425,0.1205,0.0,0.31107,0.06501,0,0.15,0.02676,0.0,8e-05,0.0,0.0,0.00576,0.00024,0.0,1.06037,0.69411,0.3278404871441294
Aphelios,item_ad,0.20757,0.05263,0.0,0.0,0.0,0.0,0.35764,0.08243,0,0.0001,0.0,0.0,0.0,0.0,0,0.00448,0.00022,0.0,1.10177,0.72767,0.35356907909512625,0.41383,0.13705,0.0,0.0,0.0,0.0
Ashe,item_ad,0.91967,0.47616,0.03265952307283648,0.00668,0.00016,0.0,0.33394,0.07339,0,0.00189,5e-05,0.0,0.0087,0.00022,0,0.05905,0.00517,0.0,0.81216,0.38952,0.0,0.24084,0.0553,0.0,0.0011,3e-05,0.0
AurelionSol,item_ap,0.15929,0.02751,0.0,0.4984,0.21628,0.0,0.00051,3e-05,0,0.28333,0.08305,0.0,0.36551,0.08553,0,0.13301,0.0261,0.0,0.0,0.0,0.0,7e-05,1e-05,0.0,0.92989,0.56148,0.19307965363185914
Azir,item_ap,0.30658,0.07819,0.0,0.2712,0.09808,0.0,0.04007,0.00225,0,0.36032,0.11151,0.0,0.32413,0.07013,0,0.06055,0.00826,0.0,0.0004,2e-05,0.0,0.04726,0.00302,0.0,0.99763,0.62854,0.25944145374629535
Bard,item_ad,0.72812,0.33787,0.0,0.18925,0.03262,0.0,0.35742,0.08298,0,0.43471,0.12852,0.0,0.15439,0.01982,0,0.21749,0.04552,0.0,0.19083,0.05228,0.0,0.61661,0.25063,0.0,0.23764,0.04975,0.0
Bard,item_ap,0.50954,0.18501,0.0,0.51052,0.18643,0.0,0.08828,0.00786,0,0.74023,0.3548,0.0,0.35086,0.08069,0,0.16524,0.03798,0.0,0.03801,0.00214,0.0,0.05088,0.00321,0.0,0.40818,0.14187,0.0
Blitzcrank,item_ap,0.27535,0.0709,0.0,0.18089,0.04851,0.0,0.02225,0.0023,0,0.41695,0.14734,0.0,0.33007,0.07314,0,0.79893,0.40872,0.018500878168730972,2e-05,0.0,0.0,0.04626,0.00295,0.0,0.57496,0.24615,0.0
Blitzcrank,item_tank,0.28898,0.07969,0.0,0.12214,0.02318,0.0,0.11771,0.01515,0,0.30655,0.09168,0.0,0.29405,0.06203,0,1.07436,0.70014,0.3259127461541368,0.00019,1e-05,0.0,0.06809,0.00694,0.0,0.11309,0.02118,0.0
Brand,item_ap,0.10305,0.01338,0.0,0.39188,0.15089,0.0,0.00057,2e-05,0,0.36179,0.11052,0.0,0.35599,0.08183,0,0.03467,0.00306,0.0,0.0137,0.00033,0.0,0.00252,7e-05,0.0,1.00435,0.63992,0.27549016461285813
Braum,item_tank,0.1896,0.04091,0.0,0.1632,0.03294,0.0,0.06346,0.00558,0,0.36656,0.12085,0.0,0.3895,0.09703,0,1.08185,0.69135,0.30084412922844583,0.00057,4e-05,0.0,0.06219,0.00562,0.0,0.0484,0.0057,0.0
Caitlyn,item_ad,0.18574,0.04671,0.0,0.0,0.0,0.0,0.3613,0.08394,0,0.0,0.0,0.0,0.0,0.0,0,0.02445,0.00066,0.0,1.10262,0.7205,0.33838874551190695,0.44901,0.14819,0.0,0.0,0.0,0.0
Camille,item_bruiser,0.09926,0.02018,0.0,0.0,0.0,0.0,0.26559,0.04913,0,0.00033,2e-05,0.0,0.0,0.0,0,0.00856,0.00062,0.0,0.30734,0.08652,0.0,1.15368,0.84352,0.5333614484782234,0.0,0.0,0.0
Cassiopeia,item_ap,0.10792,0.01679,0.0,0.58675,0.26331,0.0,0.0007,6e-05,0,0.43591,0.14924,0.0,0.33745,0.0746,0,0.06774,0.0092,0.0,0.00024,1e-05,0.0,0.00127,8e-05,0.0,0.86214,0.48672,0.1112911014277308
Chogath,item_ap,0.07739,0.01098,0.0,0.02859,0.00227,0.0,0.00139,0.00018,0,1.15845,0.79605,0.4336581991051718,0.39125,0.09607,0,0.16582,0.03106,0.0,0.0,0.0,0.0,0.06664,0.00458,0.0,0.23644,0.05879,0.0
Chogath,item_tank,0.18547,0.03879,0.0,0.00368,0.00015,0.0,0.06741,0.0058,0,1.1538,0.80921,0.46461834553641995,0.33988,0.07696,0,0.23329,0.05836,0.0,0.01193,0.00048,0.0,0.07246,0.00658,0.0,0.04529,0.00366,0.0
Corki,item_ad,0.84535,0.41443,0.0,0.27744,0.07935,0.0,0.15664,0.02164,0,0.37698,0.13041,0.0,0.33338,0.07519,0,0.06069,0.00436,0.0,3e-05,0.0,0.0,0.04183,0.00244,0.0,0.62915,0.27219,0.0
Darius,item_bruiser,0.21005,0.06573,0.0,1e-05,0.0,0.0,0.2997,0.06071,0,0.01755,0.00129,0.0,0.0,0.0,0,0.06271,0.00408,0.0,0.35778,0.11231,0.0,1.10365,0.75588,0.40810452659853835,6e-05,0.0,0.0
Darius,item_tank,0.2719,0.09094,0.0,9e-05,1e-05,0.0,0.30729,0.06329,0,0.02004,0.00179,0.0,1e-05,0.0,0,0.03851,0.00502,0.0,0.35787,0.11851,0.0,1.06797,0.72044,0.3729095824166775,0.00017,1e-05,0.0
Diana,item_ap,0.27857,0.06475,0.0,0.18735,0.05308,0.0,0.07269,0.00497,0,0.49417,0.1854,0.0,0.38442,0.09358,0,0.05976,0.00856,0.0,0.0,0.0,0.0,0.02133,0.00126,0.0,0.98238,0.58841,0.19442796873303536
DrMundo,item_tank,1.02695,0.62583,0.22470972199221806,0.05868,0.00685,0.0,0.24136,0.04612,0,0.55671,0.22547,0.0,0.24571,0.04743,0,0.11182,0.01768,0.0,8e-05,0.0,0.0,0.15086,0.0273,0.0,0.03928,0.00332,0.0
