|Cluster|Champion and Build|
"|0|Ivern (support), Janna (ap), Janna (support), Karma (support), Lulu (ap), Lulu (support), Nami (ap), Nami (support), Seraphine (support), Sona (ap), Sona (support), Soraka (ap), Soraka (tank), Yuumi (ap), Yuumi (support)|"
"|1|Aatrox (bruiser), Camille (bruiser), Darius (bruiser), Darius (tank), Fiora (bruiser), Garen (bruiser), Garen (tank), Hecarim (bruiser), Hecarim (tank), Illaoi (bruiser), Illaoi (tank), Irelia (ad), Irelia (bruiser), Kayle (ad), Kayn (bruiser), Kled (bruiser), Kled (tank), KogMaw (ad), Nasus (bruiser), Nasus (tank), Olaf (bruiser), Olaf (tank), RekSai (bruiser), Renekton (bruiser), Renekton (tank), Rengar (bruiser), Sett (bruiser), Sett (tank), Sion (tank), Trundle (bruiser), Trundle (tank), Twitch (ap), Udyr (bruiser), Viego (bruiser), Volibear (bruiser), XinZhao (bruiser), Yorick (bruiser), Yorick (tank)|"
"|2|Aphelios (ad), Ashe (ad), Draven (ad), Ezreal (ad), Gnar (ad), Gnar (bruiser), Gnar (tank), Hecarim (ad), JarvanIV (ad), Jayce (ad), Jhin (ad), Kalista (ad), Nocturne (ad), Nocturne (bruiser), Sion (ad), Sivir (ad), Varus (ad), Yasuo (ad)|"
"|3|Ahri (ap), Akali (ap), Amumu (ap), Bard (ap), Blitzcrank (ap), Chogath (ap), Ekko (ap), Evelynn (ap), Fiddlesticks (ap), Galio (ap), Gragas (ap), Gwen (ap), Katarina (ap), KogMaw (ap), Lillia (ap), Maokai (ap), Mordekaiser (ap), Mordekaiser (tank), Nidalee (ap), Nunu (ap), Singed (ap), Swain (ap), Sylas (ap), Velkoz (ap), Vladimir (ap), Zac (ap), Zoe (ap)|"
"|4|Caitlyn (ad), Graves (ad), JarvanIV (bruiser), JarvanIV (tank), Jax (ad), Jax (bruiser), Kayn (ad), Kindred (ad), LeeSin (ad), LeeSin (bruiser), MonkeyKing (ad), MonkeyKing (bruiser), Pantheon (bruiser), Riven (bruiser), Samira (ad), Talon (bruiser), Tryndamere (ad), Udyr (ad), Urgot (bruiser), Urgot (tank), Vi (ad), Vi (bruiser), Viego (ad), Xayah (ad), XinZhao (ad), Yorick (ad)|"
"|5|Alistar (tank), Amumu (tank), Blitzcrank (tank), Braum (tank), Chogath (tank), Galio (tank), Gragas (tank), Leona (tank), Malphite (tank), Maokai (tank), Nautilus (tank), Nunu (tank), Ornn (tank), Rakan (ap), Rakan (support), Rakan (tank), Rammus (tank), Rell (tank), Singed (tank), Soraka (support), TahmKench (tank), Taric (tank), Thresh (tank), Zac (tank)|"
"|6|Annie (ap), Diana (ap), Elise (ap), Fizz (ap), Karthus (ap), Kassadin (ap), Kennen (ap), Leblanc (ap), Lissandra (ap), Lux (ap), Malphite (ap), Malzahar (ap), Neeko (ap), Rumble (ap), Shaco (ap), Syndra (ap), Taliyah (ap), Teemo (ap), Veigar (ap), Vex (ap), Zyra (ap)|"
"|7|Bard (ad), DrMundo (tank), Katarina (bruiser), Kayle (ap), Poppy (tank), Sejuani (tank), Shaco (ad), Shen (tank), Skarner (tank), Thresh (ad), TwistedFate (ad), Udyr (tank), Volibear (tank), Warwick (ad), Warwick (bruiser), Warwick (tank)|"
"|8|Anivia (ap), AurelionSol (ap), Azir (ap), Brand (ap), Cassiopeia (ap), Corki (ad), Heimerdinger (ap), Ivern (ap), Kaisa (ap), Karma (ap), MissFortune (ap), Morgana (ap), Nasus (ap), Orianna (ap), Ryze (ap), Seraphine (ap), Shyvana (ap), TwistedFate (ap), Viktor (ap), Xerath (ap), Ziggs (ap), Zilean (ap)|"
"|9|Akshan (ad), Fiora (ad), Gangplank (ad), Garen (ad), Jinx (ad), Kaisa (ad), Khazix (ad), Lucian (ad), MasterYi (ad), MissFortune (ad), Pantheon (ad), Pyke (ad), Qiyana (ad), Quinn (ad), RekSai (ad), Rengar (ad), Senna (ad), Talon (ad), Tristana (ad), Twitch (ad), Vayne (ad), Yone (ad), Zed (ad)|"
