champion,build,PC0,PC1,PC2,PC3,PC4,PC5,PC6
Aatrox,item_bruiser,-3.3453826103880475,1.1925308570352846,2.7685974136097196,-1.9169649339832717,-0.871866774513259,0.2898194939899854,0.16761112879237408
Ahri,item_ap,3.306158552235652,-3.0863223972068146,4.56480207473824,5.215621057477242,2.2203831241416827,3.0324276360178732,0.8911820042608605
Akali,item_ap,3.219836479958845,-2.65095892771867,2.2294204089781364,1.8705808254000131,0.8360921826131363,0.5752595688990018,-0.06704004413419389
Akshan,item_ad,-3.7869591042112623,-1.3326652612668666,-2.1243795057113557,2.1658359419684494,-2.0228260944518777,-0.15428021991212923,0.01921122615848287
Alistar,item_tank,2.6349549636458045,5.0894731156588335,-0.3914216493484011,2.41806021166162,0.600340390672035,-3.137669884928161,0.6161649089381225
Amumu,item_ap,3.0205201912441013,-1.401092578599091,0.9707125115498687,0.6016627515059602,0.2919975260907911,-0.9458914024465959,0.06055354726069843
Amumu,item_tank,2.9768186912551298,2.4754785806456128,0.3098756588803902,1.875146735017361,0.5953846792951936,-1.9557478220751792,0.28114881278014736
Anivia,item_ap,3.7282449306797143,-1.5154003448576703,-0.6313738008072531,-1.5120839451777022,-0.45946233171663897,-0.37208753340114087,-0.6095813246338088
Annie,item_ap,3.9535483761715717,-3.2874708377892476,-0.04348805613323135,-1.722198223997094,-0.4878004195119277,-2.309754872189263,1.9785547690989926
Aphelios,item_ad,-3.744575157740299,-0.9395769444493121,-1.820578367959748,0.2479362792895381,2.12010290377992,-0.0654774487804739,0.10866059080793174
Ashe,item_ad,-3.2948969798679895,-0.7056055411943153,-1.770516521396715,-0.6804153282482922,3.768031382152384,-0.042398234570938706,0.019307881822222785
AurelionSol,item_ap,3.589517708162741,-0.8553786015401873,-1.0604023004035665,-1.3648421134243836,-0.4973673087386557,0.24962312793168573,-1.2960235753140106
Azir,item_ap,3.5971428423444967,-1.8805814137088912,-0.6200167868700063,-1.7103628264492816,-0.5181932368963815,-0.3785453170371931,-0.4325816312453955
Bard,item_ad,-0.20773899446464286,0.019426550112460833,-0.023219765962204656,0.4968231735045262,-0.12426773468751968,-0.025965485010154665,-0.44917254607905527
Bard,item_ap,3.237758044554328,0.1344913473515432,-0.030214218505375687,0.4167324300738581,0.17008253793553632,0.24319331098651828,-0.8663055085606522
Blitzcrank,item_ap,3.158585974167077,-0.1658944539998043,-0.2854755294806932,-0.12752488115395655,0.010620385617857074,-1.0996127110920055,-0.15742807874975548
Blitzcrank,item_tank,2.69642014541114,3.2693650121888513,-0.7970824808253468,1.3820363429767917,0.6208507375698005,-2.0328340982596567,0.04356826725616294
Brand,item_ap,3.7504419488130245,-1.642571091565101,-0.7560625455641786,-1.3960908574303699,-0.43379060989524115,0.17774742820332215,-1.0161650471757482
Braum,item_tank,2.859653470690808,4.652801279920072,-0.7893022191521323,2.1771929215136,0.7029308611805206,-2.863924057329247,0.39704085114689175
Caitlyn,item_ad,-3.681262641274994,-0.9655116364917556,-1.7148496137664893,0.7289217060688661,0.5893319923166978,-0.05736133923545023,-0.01329675332125808
Camille,item_bruiser,-3.100354101553596,0.5230681940462445,1.5694326101615388,-0.4446781527336934,-1.9128550455391156,0.12056089124173745,0.11820045791618546
Cassiopeia,item_ap,3.5151769030142863,-0.8380055449646031,-0.8076289940574606,-1.1275542642219445,-0.37853893818461226,0.9415207122759351,-1.6360137488808706
Chogath,item_ap,3.312388300247537,-1.0817191030430964,2.9984224680004403,3.1499093145874975,1.2115340541325499,1.1614437177888792,0.2174567599747263
Chogath,item_tank,1.4289770367243964,1.6390082175166245,2.2487884790677013,0.6855799979178413,-0.19751990706321113,-0.17371843381720214,-0.013877716860829557
Corki,item_ad,2.9939945302120896,-0.5291872917939172,-0.6128026023162175,-1.3975619870739195,-0.5380979419188907,1.264520062845927,-1.7017355319878904
Darius,item_bruiser,-3.2711445610959284,0.9057407702635304,2.3063053724593168,-1.1685899348923492,-1.6163739638726025,0.19767291998482603,0.1852871899094422
Darius,item_tank,-3.2393456332231416,0.7022088838276085,1.904140836145573,-0.9241095011130708,-1.385669041657993,0.15981261521839824,0.13680253709328735
Diana,item_ap,3.8604567233017817,-2.8445651167466206,0.3343112458316116,-1.230122649877629,-0.3029917114848424,-1.6939405138485244,1.129565906453209
DrMundo,item_tank,0.1369392574105827,1.932135698859704,3.1779999916777184,-0.8605838428323723,-1.1201509922460566,0.20042207751085062,-0.04786424240266949
Draven,item_ad,-3.770985277707874,-0.9446741958571302,-1.8785478298633338,0.09569025958261079,2.784648547047555,-0.0842016146412516,0.20259200112376136
Ekko,item_ap,3.155929683072111,-1.3037676802620353,1.0770724133199852,0.7036094866063742,0.37436699040450166,0.21041839000962417,-0.5674433542908036
Elise,item_ap,3.959799994794806,-2.6996211536228047,0.050185981247110906,-1.220061572331147,-0.3000850950482512,-1.718180394338762,1.1290864188362613
